130526,任县,3,任县,Renxian,130500,55150,37.12575,114.6842,10518,,1017,101090918,53883,1,ren xian,R,RX
130527,南和县,3,南和,Nanhe,130500,54400,37.00488,114.68371,10507,,1017,101090907,53891,1,nan he,N,NH
130528,宁晋县,3,宁晋,Ningjin,130500,55550,37.61696,114.92117,10508,,1017,101090908,53796,1,ning jin,N,NJ
130529,巨鹿县,3,巨鹿,Julu,130500,55250,37.21801,115.03524,10509,,1017,101090909,53799,1,ju lu,J,JL
130530,新河县,3,新河,Xinhe,130500,51730,37.52718,115.24987,10510,,1017,101090910,54633,1,xin he,X,XH
130531,广宗县,3,广宗,Guangzong,130500,54600,37.0746,115.14254,10511,,1017,101090911,54631,1,guang zong,G,GZ
130532,平乡县,3,平乡,Pingxiang,130500,54500,37.06317,115.03002,10512,,1017,101090912,54632,1,ping xiang,P,PX
130533,威县,3,威县,Weixian,130500,54700,36.9768,115.2637,10513,,1017,101090913,54800,1,wei xian,W,WX
130534,清河县,3,清河,Qinghe,130500,54800,37.07122,115.66479,10514,,1017,101090914,54706,1,qing he,Q,QH
130535,临西县,3,临西,Linxi,130500,54900,36.87078,115.50097,10515,,1017,101090915,54801,1,lin xi,L,LX
130581,南宫市,3,南宫,Nangong,130500,51800,37.35799,115.39068,10516,,1017,101090916,54705,1,nan gong,N,NG
130582,沙河市,3,沙河,Shahe,130500,54100,36.8577,114.4981,10517,,1017,101090917,53781,1,sha he,S,SH
130600,保定市,2,保定,Baoding,130000,71000,38.867657,115.482331,10409,,1017,101090201,54602,1,bao ding,B,BD
130602,竞秀区,3,竞秀,Jingxiu,130600,71052,38.87751,115.4587,10409,,1017,,,0,jing xiu,J,JX
130603,莲池区,3,莲池,Lianchi,130600,71000,38.88322,115.49715,10409,,1017,,,0,lian chi,L,LC
130621,满城区,3,满城,Mancheng,130600,72150,38.94972,115.32296,10410,,1017,101090202,54611,1,man cheng,M,MC
130622,清苑区,3,清苑,Qingyuan,130600,71100,38.76709,115.49267,10430,,1017,101090224,54634,1,qing yuan,Q,QY
130623,涞水县,3,涞水,Laishui,130600,74100,39.39404,115.71517,10428,,1017,101090222,54508,1,lai shui,L,LS
130624,阜平县,3,阜平,Fuping,130600,73200,38.84763,114.19683,10411,,1017,101090203,53690,1,fu ping,F,FP
